"stco","whc","sand","silt","clay","om","kwfactor","kffactor","spH","slope","tfactor"
31139,27.2837406847809,43.2428129963057,39.0344023548592,17.7227846488351,159.984725414718,0.288771589433547,0.288814373753098,7.06380317759652,64.8005259157217,4.83381594173832
31141,34.7569586676993,15.9488729825223,59.2050551408841,24.8460718765936,163.730876923184,0.419747573379074,0.419811656196809,7.48304166811672,56.5568972934201,4.90037165263428
31143,34.0058788349342,15.554603721046,57.910078358317,26.535317920637,166.920911883004,0.408005483083565,0.409437369126875,7.209385347802,72.7634299072791,4.71823232565689
31145,39.1534796405865,17.6133647291963,64.1951414559432,18.1914938148605,129.988926864276,0.498682082687346,0.498763608259823,7.66352538605351,75.5940943597056,4.97839671119896
31147,31.7776454159342,8.02146733094033,60.0482425893933,31.9302900796664,202.125707263639,0.391624820222701,0.398018045811642,6.89189227791565,59.2053819731985,4.88505655480664
31149,15.5801438122495,89.0123957776034,5.14589019059895,5.84171403179766,101.85609011755,0.0795185248800387,0.0818121216985337,6.68881038076645,66.5817149660321,4.95198818767358
31151,34.6038764727572,9.82654875005746,59.5012040315535,30.6722472183891,184.894790177608,0.417023841395074,0.417027556063435,7.13048038632122,66.2847910098954,4.83379173501058
31153,38.1043014097557,9.94661330806371,63.5279457267193,26.525440965217,208.937800143678,0.432722140173765,0.432749647252348,6.75670801130452,67.3510421959627,4.93652213566908
31155,36.9627526534028,12.4295978282454,58.7226100134704,28.8477921582842,173.717066246345,0.430201309260005,0.430313840358571,7.01978954904422,58.094603900851,4.82360813511243
31157,24.5789746311376,49.0221318583175,38.4110443738022,12.5668237678803,119.655290119029,0.426885006989962,0.428293329597905,7.87101942103807,74.1463143656099,4.86564464254696
31159,33.3915403509931,10.6763058618328,58.7996682323602,30.524025905807,200.401046647612,0.409746589039648,0.409870019990345,7.02615437950199,68.9432988604937,4.66622122483318
31161,21.4870786563938,59.5208481423476,25.9583372366672,14.5208146209852,137.14058311701,0.31004644137287,0.318458895889927,7.48218773057121,73.4139379753536,4.24134220314961
31163,34.5893632819466,21.4653400689603,57.5583395115269,20.9763204195128,154.886421381618,0.444009316158397,0.444009316158397,7.6433411538534,56.757979871391,4.95207721583841
31165,21.110802752255,62.2571322274201,25.2051728239255,12.5376949486544,102.953501795125,0.38544869719185,0.38663458747074,7.64758133997321,71.7952005195327,4.84210592570874
31167,34.8035126539487,20.3628410977773,56.7358194477073,22.9013394545154,156.950755852115,0.40557939079204,0.406001617897654,7.47683219203943,51.6085842890253,4.93253001451942
31169,33.9676481209777,12.413641870163,57.731865095708,29.854493034129,162.198310372622,0.40760060453959,0.408650797118307,7.09782947083081,63.2361900194792,4.72315460190207
31171,16.4432690587753,90.684667691404,4.36935059935341,4.94598170924253,85.2688250659167,0.070983994370136,0.0711027532859705,6.66221395754515,53.2266339162471,4.92492912882586
31173,36.1823449558615,10.4416673547384,64.0933038545878,25.4650287906738,198.190645001574,0.437674581248755,0.437674581248755,7.5975282273554,50.2866473534526,4.99249102874502
31175,35.4645345558518,24.7037366388056,55.0042498375945,20.2920135235999,160.757700294543,0.442652440508633,0.442652440508633,7.49292945114695,61.4018656718787,4.91058179556459
31177,34.5296579695664,8.59259090102027,63.2305597624271,28.1768493365526,190.723853407228,0.420215770101709,0.420231277916779,7.20893574387916,56.7650742196558,4.95357215595835
31179,36.541157294511,10.2035838043733,63.8795214261221,25.9168947695046,178.143953506903,0.441152709089582,0.441152709089582,7.55497855164446,51.2071348027369,4.99278319774826
