stco,state,year,corn,gdd,edd,ppt,whc,om,spH,clay,slope,dsci_jul,soil_jul,pr_jul,tmmx_jul
17203,17,1981,133.0,142.0,8.1,913.749,27.956,244.2346,6.9153,30.4115,105.4562,,1075.68,149.256,285.668
18001,18,1981,97.7,136.7,7.6,747.5862,21.1954,286.0348,7.3167,36.3477,55.7754,,310.884,92.155,284.174
18003,18,1981,106.8,135.9,6.8,811.1096,21.7129,434.5992,7.1959,35.252,59.4635,,388.489,112.862,283.091
18005,18,1981,97.7,140.2,11.8,694.6067,24.9275,166.0797,6.7018,21.4692,54.8054,,335.624,96.04,295.532
18007,18,1981,125.0,139.7,7.3,894.5126,21.8033,271.3241,7.0401,23.8512,89.4174,,769.086,140.722,282.633
18009,18,1981,79.6,137.6,7.0,793.3703,15.4654,281.597,7.3826,35.9514,63.7602,,481.764,102.573,279.975
18011,18,1981,116.0,139.0,9.2,855.5745,24.2568,200.9238,7.2308,22.5606,57.8035,,592.583,156.302,286.671
18013,18,1981,90.7,140.5,12.2,778.4979,24.9812,117.3459,5.3318,20.9695,31.7799,,504.246,114.924,292.762
18015,18,1981,118.9,138.7,7.6,827.8761,25.5868,260.422,6.6869,23.013,59.6891,,588.855,121.067,284.32
18017,18,1981,116.0,137.6,6.6,808.1335,23.3352,430.2621,6.8297,20.407,54.7451,,556.746,110.587,280.985
18019,18,1981,107.0,138.7,17.2,678.6185,25.7708,96.6129,5.2241,29.6919,58.5436,,566.447,109.494,302.448
18021,18,1981,100.8,140.4,12.6,911.1407,26.6456,122.9392,5.9092,24.062,58.6693,,1001.93,172.126,299.108
18023,18,1981,122.0,138.7,7.7,869.008,23.8214,235.4829,6.8961,23.7262,44.336,,515.928,138.158,284.502
18025,18,1981,87.1,138.7,16.7,752.655,22.0534,82.7107,5.1516,26.6042,43.1459,,1014.805,126.806,300.301
18027,18,1981,107.8,137.1,18.3,803.5014,26.0238,141.6436,5.9436,20.7941,65.9466,,995.418,127.942,306.313
18029,18,1981,89.1,140.9,10.4,709.9583,21.7272,101.5245,5.8664,32.3189,56.8007,,571.643,117.298,297.349
18031,18,1981,106.9,141.1,10.1,703.3834,25.2265,152.1453,6.4865,22.6879,56.2641,,448.88,107.056,292.261
18033,18,1981,90.7,135.6,6.2,910.0194,18.1362,570.73,7.2406,31.9925,59.2217,,567.19,133.649,279.725
18035,18,1981,95.8,137.5,7.9,775.1849,24.1202,289.2216,7.2919,29.3627,58.5043,,443.115,108.98,280.295
18037,18,1981,107.8,138.7,17.0,703.0563,22.0335,87.457,5.134,23.984,51.9784,,1080.778,127.392,304.43
18039,18,1981,98.7,136.4,4.9,897.8395,21.5314,385.7699,6.903,14.0376,66.9291,,733.8,144.634,278.533
18041,18,1981,108.8,139.4,8.1,718.1106,23.1535,142.2815,6.7702,22.2919,66.716,,475.876,124.47,289.844
18043,18,1981,93.1,140.1,15.8,662.5976,23.9879,98.4471,5.4865,39.4068,58.7487,,581.072,116.866,299.876
18045,18,1981,120.9,139.4,9.8,948.1318,27.6229,197.5677,6.8249,21.6894,56.2159,,914.274,174.547,290.737
18047,18,1981,96.8,139.9,9.7,676.4526,23.6082,130.9579,6.4296,22.1635,47.5129,,534.49,123.12,294.504
18049,18,1981,106.9,137.1,6.0,895.4689,23.8001,1098.7121,6.883,13.7316,59.7882,,560.607,120.191,280.802
18051,18,1981,105.9,135.1,22.7,808.8221,29.2962,131.0087,6.1939,20.9334,65.6699,,663.413,121.621,310.711
18053,18,1981,110.9,137.6,7.2,771.1424,23.1807,332.7331,7.2392,35.5611,55.2726,,517.457,113.509,280.806
18055,18,1981,102.8,139.4,14.3,851.0451,25.8841,155.9367,5.7825,24.4111,65.5263,,1001.244,141.939,301.073
18057,18,1981,111.9,138.7,8.6,807.5967,21.0705,203.7387,7.347,22.1464,58.4531,,434.754,136.509,284.177
18059,18,1981,112.9,139.4,8.9,831.424,20.2142,196.4059,7.212,22.9553,64.218,,389.664,133.399,284.862
18061,18,1981,98.7,139.9,16.3,697.9716,23.8073,98.7016,5.6541,45.6565,52.5412,,707.59,124.32,300.416
18063,18,1981,108.8,139.7,10.1,835.7285,21.952,190.8833,7.2465,21.7148,57.677,,611.782,170.616,288.678
18065,18,1981,103.8,137.9,7.5,793.9096,19.5337,202.772,7.2362,23.6227,56.9444,,442.49,120.946,282.072
18067,18,1981,125.0,137.2,7.7,791.9993,20.8715,253.9462,7.1309,26.9384,60.0976,,496.073,120.757,280.658
18069,18,1981,108.8,137.2,7.5,761.2937,17.615,214.9322,7.2849,33.6017,61.2793,,370.527,102.488,282.257
18071,18,1981,100.8,139.5,13.3,722.6651,27.2307,124.4681,5.8057,22.0909,54.9391,,554.637,99.619,299.461
18073,18,1981,106.9,139.2,5.8,871.6907,19.9483,516.1381,6.8454,12.6202,65.2043,,645.073,125.889,281.541
18075,18,1981,70.5,138.1,7.6,818.3628,14.5607,190.9171,7.378,35.3508,61.7286,,457.296,101.782,281.71
18077,18,1981,90.7,141.2,11.2,628.8825,26.958,98.4536,5.1114,24.7031,67.6954,,663.321,104.888,298.288
18079,18,1981,86.7,140.7,11.9,658.5242,27.8408,98.1731,5.2196,23.5434,67.99,,499.455,97.127,298.015
18081,18,1981,113.9,139.5,11.8,789.7448,20.5989,176.7453,7.2437,21.4174,57.2007,,289.182,127.304,289.597
18083,18,1981,100.8,135.7,20.4,815.4161,28.8558,156.6927,6.2816,20.233,67.9427,,691.378,124.316,308.007
18085,18,1981,101.8,136.7,5.6,905.5907,22.6048,766.0751,6.9061,16.1049,64.379,,570.441,130.66,277.204
18087,18,1981,96.8,135.5,5.0,972.3469,19.8024,648.2669,6.8289,12.2836,70.7387,,755.502,157.877,275.878
18089,18,1981,108.8,138.1,5.2,974.3379,19.6663,585.256,6.9587,25.0269,70.6089,,716.046,120.665,276.017
18091,18,1981,109.8,137.7,4.4,955.1151,22.2591,757.8184,6.2414,10.7101,78.9795,,802.927,125.902,272.786
18093,18,1981,93.8,139.7,14.2,788.0896,26.1239,105.9798,5.6328,38.4622,45.216,,943.138,114.123,299.693
18095,18,1981,116.0,137.6,8.5,787.6351,19.9734,262.2091,7.2999,24.668,63.0451,,431.614,123.125,281.284
18097,18,1981,112.9,140.2,10.2,786.9932,20.5038,177.0174,7.3312,21.4926,55.5133,,378.458,146.756,287.077
18099,18,1981,101.8,137.4,5.8,916.2748,27.1213,897.7594,6.8287,14.0701,65.6093,,628.41,130.858,280.145
18101,18,1981,104.9,137.8,17.1,793.2883,27.3758,114.6912,5.762,22.7729,57.3667,,1068.262,126.369,303.65
18103,18,1981,114.9,137.3,6.6,800.0237,20.7199,429.8329,7.203,28.9606,57.497,,501.341,112.085,279.531
18105,18,1981,86.7,140.9,12.3,812.1049,25.2219,106.1011,5.4524,34.5493,43.9996,,789.71,132.762,294.44
18107,18,1981,122.0,138.8,9.4,909.9291,26.1343,199.9921,6.77,22.6711,59.4034,,800.146,173.051,290.452
18109,18,1981,98.7,139.9,11.7,780.416,25.8565,173.5418,6.7576,22.1073,55.6787,,421.323,150.64,291.518
18111,18,1981,120.9,139.1,6.6,889.5852,19.2568,333.8385,6.9131,14.7226,64.8542,,739.893,131.047,282.062
18113,18,1981,95.8,136.3,5.6,919.1539,21.1684,857.6021,7.0361,24.6931,63.0329,,657.145,145.9,276.049
18115,18,1981,90.7,140.7,11.2,682.8391,22.1662,120.7954,6.1863,33.9582,56.219,,604.152,108.657,298.878
18117,18,1981,102.8,139.9,15.4,770.7991,26.2016,108.5947,5.4747,37.0064,47.532,,963.81,118.455,300.974
18119,18,1981,94.8,140.4,12.2,846.6695,27.8312,106.5368,5.6213,24.3037,44.1564,,915.508,165.037,296.111
18121,18,1981,110.9,138.9,12.8,980.8315,30.4058,171.0597,6.6782,21.8294,55.716,,1120.916,196.043,295.746
18123,18,1981,99.8,138.4,18.7,787.3081,24.6386,102.0568,5.4256,26.7158,52.7367,,1132.829,129.403,302.359
18125,18,1981,106.9,136.8,19.8,768.5016,25.7597,144.7417,5.7187,22.2041,53.5795,,879.964,123.862,308.168
18127,18,1981,106.9,138.0,4.6,934.1253,21.3488,407.6119,6.532,19.3819,58.4477,,798.65,123.666,273.913
18129,18,1981,112.9,134.9,24.4,779.6688,32.0825,120.8511,6.2237,22.0149,65.86,,758.595,132.925,313.707
18131,18,1981,101.8,138.0,6.0,886.9411,21.339,548.753,6.715,10.4959,65.3575,,593.391,119.992,281.96
18133,18,1981,103.8,138.8,11.8,896.1598,26.9447,150.3111,6.6606,22.0912,48.9492,,964.24,191.701,292.94
18135,18,1981,92.7,138.1,7.1,746.4373,19.8224,258.3288,7.3782,29.2846,69.4763,,521.649,111.38,279.945
18137,18,1981,96.8,141.4,9.6,683.7654,27.4071,96.5048,5.069,22.9838,74.0829,,576.824,112.202,294.47
18139,18,1981,106.9,139.9,8.2,786.5017,22.2573,179.3712,7.078,23.6613,65.1819,,434.022,122.606,287.517
18141,18,1981,106.9,137.4,4.6,913.2591,26.1832,1098.5431,6.7979,14.1178,67.7424,,769.602,131.778,276.6
18143,18,1981,96.8,137.5,16.5,616.7869,26.7588,97.2126,5.1714,24.1161,63.9297,,610.732,98.812,302.269
18145,18,1981,104.9,140.9,9.9,783.9623,19.7629,175.8794,7.1798,22.0431,57.445,,319.239,116.817,290.39
18147,18,1981,101.8,136.2,21.9,781.4664,27.4285,119.6597,5.6113,24.7288,64.8172,,1080.173,124.594,308.01
18149,18,1981,96.8,138.1,5.2,914.1346,17.2286,1176.622,6.4317,5.25,68.538,,664.353,125.979,279.596
18151,18,1981,90.7,134.6,4.4,946.5063,19.083,752.089,7.0563,23.0736,61.3002,,715.918,154.79,275.314
18153,18,1981,102.8,138.5,16.7,848.0231,26.1722,131.7212,6.4556,21.048,45.8068,,721.651,138.129,305.184
18155,18,1981,88.7,141.4,10.7,688.4413,22.5753,101.6902,5.7512,31.6938,68.051,,664.966,105.977,299.076
18157,18,1981,124.0,138.9,8.5,878.5973,25.6625,260.4921,6.6845,22.5288,55.0566,,584.712,138.813,286.696
18159,18,1981,123.0,137.5,7.8,799.1809,24.5344,252.8087,7.0146,29.8727,59.4993,,449.314,128.333,281.951
18161,18,1981,116.0,139.2,7.8,672.8957,21.401,145.5189,6.8169,22.6248,75.5835,,518.875,124.924,290.624
18163,18,1981,108.8,134.8,24.2,822.345,30.2061,147.8569,5.8925,23.7292,70.6135,,791.099,123.829,312.098
18165,18,1981,123.0,140.2,11.4,960.5575,27.1869,214.4755,6.8729,22.2918,59.9216,,1091.403,185.131,294.438
18167,18,1981,105.9,141.1,12.5,976.14,30.6695,157.8941,6.4529,20.0555,59.2647,,940.961,166.432,300.566
18169,18,1981,110.9,138.1,6.4,759.745,21.1199,310.4028,7.1399,27.1867,67.5594,,446.077,109.49,280.662
18171,18,1981,118.9,140.1,8.4,941.126,23.5094,240.9328,6.7976,25.6675,80.1007,,856.625,160.223,286.106
18173,18,1981,103.8,135.0,23.3,813.7735,23.3029,171.638,6.0013,24.6889,65.5357,,920.853,121.181,310.2
18175,18,1981,96.8,139.1,15.5,719.1883,26.6405,106.0804,5.4929,37.9622,53.4703,,739.34,106.318,299.444
18177,18,1981,110.9,138.8,6.7,736.3315,18.0826,148.1751,7.1708,22.1675,68.076,,493.038,121.529,284.951
18179,18,1981,96.8,136.6,7.4,752.4194,18.5904,227.3197,7.1585,34.6588,67.5653,,358.857,96.6,281.77
18181,18,1981,124.0,139.2,6.9,840.4918,20.7729,315.1126,6.7643,14.4086,68.1669,,602.611,118.028,283.443
18183,18,1981,101.8,136.3,6.1,855.7636,18.5008,562.2724,7.1923,31.4425,58.4184,,503.639,128.271,278.335
19001,19,1981,121.0,141.4,11.9,601.6212,28.9185,259.5326,6.2151,33.7393,55.242,,125.546,138.029,290.18
19003,19,1981,119.6,139.9,12.2,620.9667,33.8116,228.8244,6.4604,34.3286,55.839,,176.019,144.413,293.543
19005,19,1981,127.2,139.4,3.2,760.565,28.6594,125.8014,5.9931,28.5654,67.8751,,684.846,117.292,271.154
19007,19,1981,107.6,144.4,8.5,902.8609,28.766,153.5939,6.1327,37.1652,59.002,,1082.185,221.518,289.692
19009,19,1981,115.4,141.5,10.4,581.0915,34.6746,244.4001,6.4715,30.4678,48.0333,,97.032,113.217,289.766
19011,19,1981,126.1,141.4,6.2,664.8525,33.1034,351.8273,6.3992,26.6749,61.1042,,172.266,107.78,281.723
19013,19,1981,132.5,140.8,5.7,707.8788,31.5453,312.0931,6.5982,21.9909,63.749,,244.526,131.072,281.203
19015,19,1981,121.8,140.8,9.3,538.0429,33.9329,345.3403,7.5067,21.8196,27.7202,,88.368,125.61,287.363
19017,19,1981,135.0,140.8,5.1,842.9818,31.883,326.0068,6.8179,21.6729,69.6736,,412.181,142.106,276.892
19019,19,1981,133.3,140.3,4.4,872.4474,29.8253,356.5841,6.6072,21.6645,64.4759,,242.018,107.058,278.713
19021,19,1981,129.9,140.6,7.7,561.7607,33.8662,382.6214,7.3896,26.2822,29.3619,,147.108,128.816,282.307
19023,19,1981,127.0,140.7,6.7,674.9246,29.0802,345.6251,6.5094,21.8228,61.2735,,382.036,151.681,282.208
19025,19,1981,135.0,141.1,8.1,640.2086,34.77,457.3826,7.4425,25.2241,26.4049,,105.323,129.942,287.061
19027,19,1981,124.6,140.9,9.5,601.0616,34.866,296.5685,6.9358,25.7265,38.7179,,98.05,124.024,289.434
19029,19,1981,116.2,140.6,12.3,575.7381,36.0671,248.9049,6.5153,30.7163,53.4501,,106.053,114.304,293.194
19031,19,1981,141.4,142.6,5.2,757.3038,32.6448,248.3208,6.3347,27.1046,58.3251,,255.317,100.121,278.299
19033,19,1981,134.1,140.1,6.4,798.9063,30.7609,491.2462,6.9763,22.8825,50.3917,,473.35,152.853,279.864
