stco,year,gdd,edd
17013,1981,139.5,17.7
17015,1981,138.4,4.3
17017,1981,143.3,10.2
17019,1981,140.7,8.7
17021,1981,142.2,12.5
17023,1981,138.7,15.7
17025,1981,137.9,18.9
17027,1981,139.8,19.3
17029,1981,142.0,11.5
17031,1981,138.2,4.7
17033,1981,137.2,18.3
17035,1981,140.8,13.6
17037,1981,137.9,3.7
17039,1981,142.6,8.7
17041,1981,141.9,10.2
17043,1981,138.1,4.8
17045,1981,141.9,10.0
17047,1981,135.0,22.9
17049,1981,141.5,13.4
17051,1981,140.9,16.1
17053,1981,139.6,7.8
17055,1981,137.6,22.9
17057,1981,143.4,8.4
17059,1981,136.5,24.2
17061,1981,141.7,13.8
17063,1981,139.0,7.0
17065,1981,136.6,22.6
17067,1981,144.2,9.4
17069,1981,138.9,22.8
17071,1981,144.8,6.7
17073,1981,141.9,6.0
17075,1981,138.8,7.9
17077,1981,138.1,22.8
17079,1981,139.1,15.9
17081,1981,138.2,20.5
17083,1981,140.9,16.4
17085,1981,138.5,3.4
17087,1981,139.3,22.3
17089,1981,137.9,3.6
17091,1981,138.6,6.4
17093,1981,138.9,5.2
17095,1981,143.4,5.6
17097,1981,135.2,2.8
17099,1981,140.3,6.1
17101,1981,136.0,20.3
17103,1981,138.5,4.3
17105,1981,140.6,7.1
17107,1981,143.6,9.1
17109,1981,144.6,7.5
17111,1981,136.2,3.7
17113,1981,141.6,8.6
17115,1981,143.2,10.3
17117,1981,142.2,14.2
17119,1981,140.0,19.5
17121,1981,139.5,18.3
17123,1981,141.6,7.0
17125,1981,142.7,10.3
17127,1981,137.9,25.0
17129,1981,144.5,8.8
17131,1981,144.1,5.9
17133,1981,136.3,24.8
17135,1981,141.3,14.8
17137,1981,143.0,10.7
17139,1981,142.9,10.6
17141,1981,138.1,3.9
17143,1981,143.3,6.4
17145,1981,138.2,22.2
17147,1981,142.6,8.6
17149,1981,143.1,11.7
17151,1981,139.0,22.8
17153,1981,138.1,25.6
17155,1981,140.4,7.6
17157,1981,136.1,24.5
17159,1981,138.3,17.9
17161,1981,142.8,5.9
17163,1981,136.9,24.0
17165,1981,138.1,22.6
17167,1981,143.6,10.6
17169,1981,144.3,9.1
17171,1981,141.5,12.8
17173,1981,142.2,12.7
17175,1981,142.5,5.7
17177,1981,137.8,3.8
17179,1981,143.0,8.6
17181,1981,138.5,23.5
17183,1981,140.4,9.2
17185,1981,135.8,21.6
17187,1981,144.2,6.1
17189,1981,138.6,20.7
17191,1981,136.8,21.1
17193,1981,135.9,23.3
17195,1981,140.2,5.7
17197,1981,139.1,5.7
17199,1981,138.2,22.1
17201,1981,137.5,4.0
17203,1981,142.0,8.1
18001,1981,136.7,7.6
18003,1981,135.9,6.8
18005,1981,140.2,11.8
18007,1981,139.7,7.3
18009,1981,137.6,7.0
18011,1981,139.0,9.2
18013,1981,140.5,12.2
18015,1981,138.7,7.6
18017,1981,137.6,6.6
18019,1981,138.7,17.2
18021,1981,140.4,12.6
18023,1981,138.7,7.7
18025,1981,138.7,16.7
18027,1981,137.1,18.3
18029,1981,140.9,10.4
18031,1981,141.1,10.1
18033,1981,135.6,6.2
18035,1981,137.5,7.9
18037,1981,138.7,17.0
18039,1981,136.4,4.9
18041,1981,139.4,8.1
18043,1981,140.1,15.8
18045,1981,139.4,9.8
18047,1981,139.9,9.7
18049,1981,137.1,6.0
18051,1981,135.1,22.7
18053,1981,137.6,7.2
18055,1981,139.4,14.3
18057,1981,138.7,8.6
18059,1981,139.4,8.9
18061,1981,139.9,16.3
18063,1981,139.7,10.1
18065,1981,137.9,7.5
18067,1981,137.2,7.7
18069,1981,137.2,7.5
18071,1981,139.5,13.3
18073,1981,139.2,5.8
18075,1981,138.1,7.6
18077,1981,141.2,11.2
18079,1981,140.7,11.9
18081,1981,139.5,11.8
18083,1981,135.7,20.4
18085,1981,136.7,5.6
18087,1981,135.5,5.0
18089,1981,138.1,5.2
18091,1981,137.7,4.4
18093,1981,139.7,14.2
18095,1981,137.6,8.5
18097,1981,140.2,10.2
18099,1981,137.4,5.8
18101,1981,137.8,17.1
18103,1981,137.3,6.6
18105,1981,140.9,12.3
18107,1981,138.8,9.4
18109,1981,139.9,11.7
18111,1981,139.1,6.6
18113,1981,136.3,5.6
18115,1981,140.7,11.2
18117,1981,139.9,15.4
18119,1981,140.4,12.2
18121,1981,138.9,12.8
18123,1981,138.4,18.7
18125,1981,136.8,19.8
18127,1981,138.0,4.6
18129,1981,134.9,24.4
18131,1981,138.0,6.0
18133,1981,138.8,11.8
18135,1981,138.1,7.1
18137,1981,141.4,9.6
18139,1981,139.9,8.2
18141,1981,137.4,4.6
18143,1981,137.5,16.5
18145,1981,140.9,9.9
18147,1981,136.2,21.9
18149,1981,138.1,5.2
18151,1981,134.6,4.4
18153,1981,138.5,16.7
18155,1981,141.4,10.7
18157,1981,138.9,8.5
18159,1981,137.5,7.8
18161,1981,139.2,7.8
18163,1981,134.8,24.2
18165,1981,140.2,11.4
18167,1981,141.1,12.5
18169,1981,138.1,6.4
18171,1981,140.1,8.4
18173,1981,135.0,23.3
18175,1981,139.1,15.5
18177,1981,138.8,6.7
18179,1981,136.6,7.4
18181,1981,139.2,6.9
18183,1981,136.3,6.1
19001,1981,141.4,11.9
19003,1981,139.9,12.2
19005,1981,139.4,3.2
19007,1981,144.4,8.5
19009,1981,141.5,10.4
19011,1981,141.4,6.2
19013,1981,140.8,5.7
19015,1981,140.8,9.3
19017,1981,140.8,5.1
19019,1981,140.3,4.4
19021,1981,140.6,7.7
19023,1981,140.7,6.7
19025,1981,141.1,8.1
19027,1981,140.9,9.5
19029,1981,140.6,12.3
19031,1981,142.6,5.2
19033,1981,140.1,6.4
19035,1981,139.4,10.3
19037,1981,140.0,4.4
19039,1981,144.3,8.5
19041,1981,139.7,7.5
19043,1981,140.4,3.5
19045,1981,141.0,4.5
19047,1981,141.7,10.0
19049,1981,141.3,10.1
19051,1981,144.1,9.8
19053,1981,144.2,9.1
19055,1981,140.2,3.3
19057,1981,145.3,6.8
19059,1981,139.6,6.1
19061,1981,140.6,2.9
19063,1981,140.7,5.8
19065,1981,140.1,3.8
19067,1981,140.6,6.0
19069,1981,139.9,6.4
19071,1981,138.5,19.6
19073,1981,140.2,10.5
19075,1981,140.8,6.1
19077,1981,140.4,12.0
19079,1981,140.4,8.2
19081,1981,140.9,5.6
19083,1981,140.1,7.8
19085,1981,140.6,14.9
19087,1981,145.2,7.9
