stco,year,soil_jul,vpd_jul,pr_jul,tmmx_jul
19147,1981,166.27,82.687,122.551,283.081
19159,1981,565.732,81.372,183.156,290.76
19025,1981,105.323,84.052,129.942,287.061
19039,1981,513.376,79.212,175.97,288.414
19065,1981,407.366,75.941,121.132,274.759
19001,1981,125.546,82.642,138.029,290.18
19037,1981,620.098,78.041,151.205,273.458
19081,1981,365.595,85.769,133.229,281.954
19157,1981,182.745,73.736,127.777,281.428
19165,1981,103.33,85.752,98.779,289.517
19185,1981,1044.665,82.084,220.293,289.948
19097,1981,267.987,75.405,70.139,274.643
19043,1981,489.016,78.933,102.009,276.755
19007,1981,1082.185,82.919,221.518,289.692
19177,1981,1010.98,85.422,197.015,292.232
19197,1981,205.276,85.069,133.094,282.881
19137,1981,123.662,91.044,124.787,298.244
19175,1981,364.398,79.868,164.959,288.969
19107,1981,241.252,79.913,132.931,285.226
19131,1981,645.382,81.051,160.597,274.463
19191,1981,677.25,78.27,138.278,271.578
19161,1981,118.841,83.256,129.972,285.856
19055,1981,284.379,75.603,92.902,277.369
19067,1981,576.846,82.837,158.824,278.681
19009,1981,97.032,84.255,113.217,289.766
19079,1981,101.906,83.127,131.143,284.089
19069,1981,441.353,84.527,152.461,281.874
19141,1981,136.761,85.021,123.965,283.242
19167,1981,138.631,93.479,113.437,287.894
19005,1981,684.846,80.703,117.292,271.154
19189,1981,393.788,85.792,136.602,280.598
19093,1981,130.224,84.711,117.266,285.538
19029,1981,106.053,85.752,114.304,293.194
19083,1981,146.981,82.381,133.074,283.422
19173,1981,356.006,85.764,164.481,295.124
19145,1981,207.779,93.034,149.494,299.568
19035,1981,130.25,84.502,123.367,284.767
19071,1981,153.896,102.027,125.212,301.482
19095,1981,181.295,76.868,113.404,282.111
19023,1981,382.036,83.151,151.681,282.208
19063,1981,183.834,83.684,117.245,281.956
19047,1981,109.644,84.653,106.245,286.347
19019,1981,242.018,76.316,107.058,278.713
19143,1981,156.861,84.789,118.525,281.291
19073,1981,95.55,85.619,126.361,290.46
19087,1981,873.158,80.066,158.178,286.481
19119,1981,132.979,95.581,111.121,288.745
19003,1981,176.019,84.217,144.413,293.543
19133,1981,108.05,94.488,88.63,292.781
19091,1981,141.831,85.02,123.729,285.199
19115,1981,539.002,80.248,127.01,285.394
19171,1981,163.575,76.558,123.347,282.028
19135,1981,947.5,81.893,195.151,288.076
19117,1981,809.288,81.516,191.028,289.305
19057,1981,970.741,80.697,150.797,285.369
19011,1981,172.266,76.265,107.78,281.723
19113,1981,215.372,80.305,100.357,282.571
19105,1981,243.161,76.679,84.074,279.276
19103,1981,234.101,80.312,113.753,283.357
19183,1981,314.678,79.247,121.922,285.05
19045,1981,268.246,74.248,79.579,274.148
19163,1981,301.636,78.255,97.205,275.5
19139,1981,360.485,78.764,111.836,281.782
19169,1981,98.52,78.709,133.603,282.924
19015,1981,88.368,83.007,125.61,287.363
19121,1981,150.064,79.762,141.83,288.76
19181,1981,287.576,80.838,151.396,288.332
19049,1981,97.591,83.033,130.929,289.31
19153,1981,128.853,83.403,137.7,287.348
19077,1981,100.575,84.358,125.542,290.681
19099,1981,184.798,75.038,136.542,282.947
20035,1981,78.414,180.329,61.998,342.52
20015,1981,81.901,165.094,71.886,332.333
20191,1981,49.813,193.994,70.437,346.311
20173,1981,53.579,180.736,71.691,336.13
20095,1981,34.16,190.566,86.314,341.357
20079,1981,112.471,168.82,83.348,331.065
20073,1981,127.436,154.453,81.545,331.825
20157,1981,122.55,133.1,135.862,311.961
20039,1981,116.973,150.466,136.159,316.707
20147,1981,144.616,140.066,131.958,316.439
20075,1981,21.809,204.532,67.396,340.997
20199,1981,32.707,184.814,83.83,330.382
20151,1981,36.179,187.915,98.024,338.395
20101,1981,31.051,179.075,111.012,331.81
20195,1981,61.835,162.703,118.58,324.294
20115,1981,147.884,151.676,98.423,324.051
20165,1981,33.619,167.162,120.592,329.015
20187,1981,14.638,211.732,66.438,344.078
20181,1981,61.54,170.021,92.969,320.862
20001,1981,311.023,143.706,86.702,326.135
20021,1981,310.519,147.039,74.762,329.331
20023,1981,113.549,167.706,104.563,320.163
20029,1981,140.504,142.73,145.269,317.243
20167,1981,113.642,156.427,120.238,323.988
20089,1981,183.657,134.311,127.608,313.65
20123,1981,150.064,147.606,123.493,322.743
20171,1981,31.546,182.817,96.212,332.59
20189,1981,22.354,203.116,76.023,341.488
20033,1981,39.232,199.472,93.767,343.327
20145,1981,35.704,174.236,116.565,331.549
20065,1981,108.908,154.492,119.522,319.209
20129,1981,17.289,219.604,76.111,346.48
20063,1981,54.939,171.568,111.273,328.281
20133,1981,256.161,151.102,70.752,331.272
20013,1981,242.766,115.552,154.131,311.279
20011,1981,363.712,142.969,76.926,326.369
20027,1981,104.289,140.697,150.334,317.969
20105,1981,151.247,153.391,122.619,325.867
20183,1981,177.936,138.301,131.693,316.136
20127,1981,229.255,133.834,122.157,315.203
20007,1981,33.988,201.31,90.044,347.173
20109,1981,34.562,178.336,91.968,330.038
20003,1981,403.457,133.903,110.849,320.582
20117,1981,116.259,125.439,146.099,311.368
20203,1981,29.031,185.585,82.727,333.21
20067,1981,25.379,203.824,71.129,342.628
20019,1981,165.214,175.077,63.031,344.4
20163,1981,105.713,148.611,124.949,319.525
20069,1981,31.234,186.201,106.918,335.059
20017,1981,177.847,143.18,107.56,322.585
20207,1981,243.683,149.29,89.562,330.158
20153,1981,141.576,157.422,125.333,317.84
20193,1981,96.045,160.465,105.633,318.913
20159,1981,79.359,165.515,104.657,327.837
20135,1981,30.644,171.789,111.596,329.542
20205,1981,168.658,158.949,73.069,336.923
20141,1981,139.806,147.558,119.579,321.278
20025,1981,38.092,200.115,90.136,344.839
20081,1981,32.177,193.227,89.915,338.033
20185,1981,37.479,179.487,104.438,334.009
20041,1981,135.931,148.675,124.482,322.786
20047,1981,40.04,180.857,106.02,333.684
20179,1981,101.347,157.678,116.312,320.048
20097,1981,46.077,186.785,99.181,335.227
20077,1981,33.33,200.723,83.09,347.922
20201,1981,98.398,132.401,144.653,313.467
20049,1981,159.463,165.913,62.632,338.88
20131,1981,164.824,120.189,145.864,311.008
20137,1981,138.438,144.947,132.285,315.651
20031,1981,432.26,137.881,117.677,323.084
20053,1981,151.669,154.158,116.142,323.522
20083,1981,32.954,178.751,110.32,332.334
